,UI/UX,Functionality,Subscription & Pricing,Content Quality,Rating,Komentar,Technical & Access
354,,,,,3.0,Saya dari dulu selalu baca kompas,
355,,,,,5.0,Mantap kompas slalu yg terbaik,
356,,,,1.0,5.0,Saya suka membaca berita di aplikasi ini dan turut berlangganan. Koran Kompas memang mengusung jurnalisme berkualitas.,
357,,,,,5.0,Sangat bermanfaat dan bacaan setiap hari,
358,,,,,1.0,Gak bisa baca buku ketika mode android gelap,
359,,,,1.0,5.0,Beritanya objektif dan seimbang .,
360,,,,,1.0,"sdh brlangganan, gak bisa bca e paper. dan selalu diarahkan via ke google play. jelek😡",-1.0
361,-1.0,,,,2.0,Kompas id gak bisa landscape ya?,
362,,,,1.0,5.0,Kompas sangat penting untuk dibaca sintaksisnya apik.,
363,,,,,5.0,"Sdh lbh 50th membaca Kompas cetak, di era IT stop berlangganan mngikuti kemajuan tekhnologi",
364,,,,,1.0,koran digitalnya berbayar pdhl udah didownload tp ga bisa dibuka males bgt kalo hrs nonton iklan justru gpp,-1.0
365,,,0.0,,5.0,Saran : harusnya buat paket Rp. 1000. Jadi enak buat test test dulu. Kalau sor baru..lanjut,
366,,,,1.0,5.0,Sangat bagus dan bisa dipercaya,
367,,-1.0,-1.0,,1.0,Saya jengkel dgn Kompas e paper. Saya mau berhenti saja setelah sejak 1967 langganan Kompas,
368,,,,,4.0,KOMPAS MATA HATI KATA HATI,
369,,,1.0,,5.0,"Bagus, Daripada langganan koran Kompas yang hardcopy lebih baik yang digital, Bisa dibawa dan dibaca dimana-mana 🙂...",
370,,,-1.0,,1.0,Saya tak suka aja aplikasi berita tapi berbayar 🙄,
371,,,,,5.0,Terima kasih atas bantuan dan pertolongannya,
372,,,,1.0,5.0,"Bagus, mendalam, dan terpercaya, cepat, represehtatif",
373,,,,1.0,5.0,Banyak informasi baru yang up to date dan terpercaya sumbernya. Saya suka baca kompas sejak usia 12 tahun,
374,,,,,1.0,Susah download walaupun kuota penuh... tapi saya merasa koneksi internet dan kuota saya mencukupi.. ini aneh... tujuan saya update..🙏,-1.0
375,,,0.0,,1.0,Bagaimana cara berhenti berlangganan.... Ga ketemu caranya,
376,,,,1.0,1.0,Akurat dlm pemberitsanx dan sangat di percaya,
377,,,,,1.0,Sudah dilakukan pembayaran tapi status masih belum aktif. Kecewa dengan Kompas,-1.0
378,,,,,5.0,Klu cari lowongan kerja dibagian apa?,
379,,,,1.0,5.0,Sangat membantu mendapatkan informasi dan tulisan yg mencerahkan,
380,,,,,5.0,Selalu terdepan dalam kualitas untuk kepuasan pelanggan,
381,,,,1.0,5.0,"Berita aktual dan terpercaya , kompas tetap yang terbaik , netralitas adalah kunci keadilan ,,,",
382,,,,,5.0,بسم الله الرحمن الرحيم Mengulas serta menyampaikan wacana dengan jernih.,
383,,,,-1.0,1.0,Khusus covid media knp memberi berita yg sll menyeramkan pdhl 95% covid bs sembuh dan kurang pemberitaan,
384,,,,1.0,5.0,"Berita Lengkap, Ulasan dengan bahasa yg tinggi, ciri dari kompas tdk pernah berubah",
385,,,,1.0,5.0,Informasi yg up to date hingga tidak termakan berita hoax,
386,,,,1.0,5.0,Beritanya dari zaman dulu sampai sekarang dapat dipercayadan terkemuka,
387,,,,,5.0,Indonesia peta Indonesia malam 🌃 dan informasi kompas tv online streaming Sidoarjo Jawa timur Indonesia,
388,,,,1.0,5.0,"Kompas menurut gue dah lama di Indonesia dan berbagai sumber berita akurat,terpercaya",
389,,,,0.0,3.0,"Beritakan yg benar/ril bukan pencitraan, iklan jangan berlebihan",
390,,,,-1.0,1.0,Tidak bersikap netral sebagai pemberi berita. Beritanya hoak semua demi kepentingan pihak tertentu,
391,,,,1.0,5.0,Membaca harian kompas lbh oercaya daripd google indonesia,
392,,,0.0,,2.0,kira in bisa baca berlanggan dulu 50.000 rupiah,
393,,,,,2.0,Agak nge lag gitu ya,-1.0
394,,,,,5.0,Memberi arah agar tepat tujuan/sasaran secara pasti,
395,,,,,1.0,Aplikasi ini jelik banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!@!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi bo'ong hayuk papali papali *,
396,,,,1.0,5.0,"Harian Kompas salah surat kabar yang berani mengungkap kebenaran, tidak memihak dan berpihak",
397,,,,1.0,5.0,"Walaupun berbayar, content content nya sangat bagus di banding yang lain. Good apps",
398,,,,,5.0,Hebat. Sangat bermanfaat untuk dibaca dan dipelajari.,
399,,,,-1.0,1.0,NETRALAH.........DALAM MEMBERIKAN BERITA JANGAN PRO KE PEMERINTAH JUGA JANGAN JUGA PRO KE PIHAK OPOSISI...PAYAH....AUTO UNINSTAL...,
400,,0.0,,,5.0,Memuaskan. Apa epaper tak bisa full warna,
401,,,-1.0,-1.0,1.0,Berita sampah aja pake berbayar.. ajiggg,
402,,,,1.0,5.0,Beritanya selalu terbaru dan kopeten dan bersifat netral.bagus,
403,,,,1.0,4.0,Berita2 di kompas singkat dan akurat,
404,,,,,3.0,Buka mau baca kok sulit,-1.0
405,,,,1.0,5.0,Informasi yg Akurat..Kompas..berita terupdate..sangat berguna Good Job,
406,,0.0,,,4.0,Mohon dong tambahkan fitur kompaskarier seperti kompas website .. Itu saja ulasan saya tolong di respon secepat ny,
407,,,-1.0,,1.0,"Membaca berita berbayar, masih banyak cara lain mendapatkan berita gratis. Jangan download app ini, app berbayar 👎👎👎👎👎",
408,,,,0.0,5.0,Berita yang benar²... jangan berita HOAkompas yaa,
409,,,-1.0,,1.0,"Dapat voucher dr tukar poin bli bli, ternyata ga bisa pake...sama aja mubazir....",
410,,,,1.0,4.0,Semoga aku puas baca harian kompas Kompas tv independen terpercaya,
411,,,,,1.0,Sudah beli google play tapi tidak bisa akses. Knp ya ?,-1.0
412,,,,,1.0,Hari gini ga ada yg gratis 😂😂😂,
413,,,,,3.0,Sy baru install. Semoga baik,
414,,,,,5.0,Tanggal. 29 / 7 / 2020 Jam. 16:21🇮🇩❤📌.oke,
415,,,,-1.0,1.0,Media abal2....isinya ga jelas ....,
416,,,,-1.0,1.0,"Beritanya mulai banyak yg hoax, tdk akurat, jadi sebel membacanya",
417,,,,-1.0,1.0,Asal masukan media tanpa diklarifikasi,
418,,,,-1.0,1.0,"Clickbait, isi tidak sesuai fakta, provokatif, berlebihan, hiperbola, ditambah bumbu",
419,,,,-1.0,1.0,"Berita a****g, gak netral dan tdk mendidik",
420,,,,1.0,5.0,Berbayar sih tapi berbobot. Maju terus kompas,
421,,,,0.0,5.0,"Semoga KOMPAS bisa menyajikan berita yg Akurat , Netral , terUpDate , sehingga dapat dijadikan acuan/pedoman semua masyarakat indonesia 🙏",
422,,,,,1.0,"Cczeher,nya c km n pin oli, fkompas",
423,,,,-1.0,1.0,Ciee mau ikutan buat HOAkompas ky aplikasi sebelah...,
424,,,,,3.0,"Untuk sementara bintang 3 dulu ya, semoga bisa baik ke bibtang 5",
425,,,,,4.0,Semoga tetap berpegang pada independen.,
426,,,,-1.0,1.0,Beritanya mulai gak singkron banyak hoaxnya payahhh,
427,,,,,1.0,Gw instal tp boong.. Hahahaha ha..,
428,,,,1.0,5.0,Berita menarik dan e book nya layak dibaca....,
429,,,,-1.0,2.0,Kurang Updete Sperti Di Google,
430,,,,,1.0,Kecewa..🙈🙉🙊💩.. Mending pindah kesebelah... Bukan KOMPAS yg dulu😝,
431,,,0.0,,5.0,Bagaimanan scan uji coba gratis langganan aesuai koran hari ini,
432,,,,,1.0,Lupa password tidak ada solusi,-1.0
433,,,,1.0,5.0,Bagus nih update terus dilanjut terus bang,
434,,,,1.0,5.0,Koran ditinggalkan ada applikasi News Yang. Lebih memukau mampu terpercaya dalam menghadirkan Berita Dunia,
435,,,,,1.0,"ternyata mau baca koran aja ribet pakai masuk"" akun sgala,padahal dah pake kuota data...hmmm",-1.0
436,,,,0.0,2.0,Beritanya di update lagi makasih,
437,,,,1.0,4.0,"Kompas 3 T : top, tepat dan terpecaya",
438,,,-1.0,,1.0,Mahal om 50rb per bulan,
439,,,,1.0,5.0,Ok bos sy puas degan britanya,
440,,,-1.0,,1.0,Baca berita kok harus bayar...?!,
441,,,,1.0,4.0,"Bagus , beritanya dpt dipercaya",
442,,,,,5.0,Kompas memang tiada dua nya,
443,,,,1.0,5.0,Jurnalisme berkualitas dan terpercaya ada dalam genggaman,
444,,,-1.0,,1.0,"Maaf, terpaksa di uninstall masih banyak app lain yg memberi tanpa mengharapkan imbalan.",
445,,,,,1.0,"Punya saya tidak bisa berlangganan,padahal udah di isi pulsa 55.000 apa masalah nya ini? Mau dilanggani atau tidak?",-1.0
446,,,,1.0,5.0,ngikuti kompas nambah wawasan pengetahusn kita.,
447,,,-1.0,,1.0,Ketika mengetahui harus berbayar..langsung hapus..masih banyak konten berita yang gratis..thanks,
448,,,,,5.0,Sa sdh konfirmasi pembayaran lwt browser kok buka epaper di apps gak bisa.. tolong petunjuknya,-1.0
449,,,,,5.0,Berita nasional masalah politik pasca pemilu,
450,,,,,5.0,Aku merasa senang bisa bergabung dengan semua disini,
451,,,,,3.0,belum di goba sementara bintang 3 dl.,
452,,,,1.0,5.0,"Berita terkini dan selalu update, membuka wawasan berpikir.",
453,,,,-1.0,2.0,"beberapa berita, sangat tidak netral. mungkin meraih pundi pundi uang, lewat situ kali ya?",
454,,,,,1.0,lebih mudah masa awal dulu buka kompas id. sekarang ribet.,-1.0
455,,,,1.0,4.0,"cepat,akurat dan terintegrasi secara berkesinambungan.",
456,,,,-1.0,5.0,Artikel judul masih sering berulang ( double ).,
457,,,,1.0,5.0,bisa baca berita setiap hari. terima kasih,
458,,,,0.0,4.0,test dlu semoga independen beritanya,
459,,,,,1.0,"masa harus login dulu payahhh, uninstal deh jadinya",-1.0
460,,,,,4.0,suka untuk ikut berita. tapi bintangnya saya tambahkan jadi 5 klo aplikasinya bagus dan terpercaya,
461,,,,0.0,3.0,mohon beritanya supaya lebih jelas dan akurat ya.. trimksh.,
462,,,,1.0,5.0,"mantap berita yg aktual dan terjamin,maju terusss",
463,,,0.0,,5.0,"kak tolong bantu ,Punya voucher kompas yang satu bulan tapu gimana cara aktivasiin kode voucher nya?",
464,,,-1.0,,1.0,masa maw liat berita harus pakai paket berlangganan....sy uinstal aja...aplikasi gak berguna,
465,,,,,5.0,"aplikasi tdk bisa dibukaharus dilogging bagaimana caranya ,",-1.0
466,,,,-1.0,2.0,"berita di menu cetak dan e-paper sering gak update, padahal udah di refresh berkali2",
467,,,,1.0,5.0,mantab. Kemudahan dalam mencari berita yang mendalam. Salah satu alternatif penangkal hoax,
468,,,,,4.0,"Bagus, terimakasih sangat membantu 👍",
469,,,,,5.0,Kompas mantap jadi bisa monitoring iklan harian saya smoga banyak peminat,
470,-1.0,,,,3.0,Akan lebih baik lagi kalau ukuran font nya bisa di custom. Di HP saya fontnya terlalu kecil.,
471,,,-1.0,,1.0,"Masa harus langganan 50,RB perbulan, SDH makan Kouta, masih kurangkah????",
472,,,-1.0,,1.0,Masa baca berita sedikit aja harus bayar,
473,,,-1.0,,1.0,"Mending baca berita ol sebelah,,, gini2 berlanganan....",
474,,,,,1.0,Ampas mau sign in pakai gogle akun pakai fb maupun buat akun ngak bisa2 tele lh,-1.0
475,,,,0.0,4.0,Beritakan berita yang benar benar kejadian nyata,
476,,,,,5.0,Sangat hebat Saya didatangi langsung oleh petugas kompas Saat berkunjung Di gramedia,
477,,,,,1.0,"Kenapa ya...?? Saya sdh berlangganan, malah aplikasinya baru dibuka keluar lagi dgn sendirinya...???",-1.0
478,,,-1.0,,2.0,"Setelah diminta sign in untuk bebas akses, setelah sign in ternyata tetap harus berlangganan☺️ untuk baca berita lengkap. Uninstall deh.",
479,,,,,5.0,Terima kasih kepada Kompas yg telah memberikan informasi kpd masyarakat. Sukses selalu,
480,,,,,5.0,Perbesar kontribusi para pembaca dalam penyajian informasi,
481,,,,,5.0,Tambah sukses dan lebih inovasi,
482,,,,1.0,5.0,"Oke, beritanya, tingkatkan trus, maju kompas",
483,,,,,5.0,Semoga Kompas tetap menjaga Marwah KEINDONESIAAN,
484,,,,,1.0,"Saya sulit untuk membaca isi beritanya. Ber kali2 selalu tidak bisa, 
padahal berita yang saya suka.",-1.0
485,,,,,5.0,Pepatatah mengatakan berita itu bukan persis kejadian yg sebenarnya,
486,0.0,,,,4.0,Tampilan gambar dan penulisan untuk minat baca,
487,,,,1.0,5.0,"Saya menyukai berita2 politik di kompas, saya punya kliping kompas sejak 
1994",
488,0.0,,,,3.0,"Tulisan fontnya hrs bisa diatur besar kecilnya agar dpt bisa dibaca dgn 
jelas bagi penggunanya.",
489,,,,-1.0,1.0,Betita lama sering di muat lg,
490,,-1.0,,,1.0,"Knapa buku yg udah di donlot, setiap mo baca kudu donlot dulu..? Boros 
kuota , Mas... Bintang 1 cukuplah.",
491,,,,,5.0,"GK harus nunggu koran pagi dikirim, bangun tidur jam 4.30 bisa menikmati 
berita pagi",
492,,,-1.0,,1.0,"Ribet,.. bayar lagi. Males.. langdung uninstall. Install yg lain masih 
banyak",
493,,,-1.0,,3.0,Yah bayar. Langsung uninstall. Padahal beberapa bulan lalu masih gratis.,
494,,,,1.0,5.0,"Berita terpopuler & terpercaya, thanks",
495,,,,,5.0,Bermanfaat untuk menambah wawasan dan infotmasi,
496,,,,,5.0,Tingkatkan kualitas dan pelayanan nya,
497,,,,,5.0,Terima kasih semoga bermanfaat selalu,
498,,,,,1.0,"ribet sekali bro...! gak bisa bikin yang simpel saja kah. kayak detik gitu 
loh...!",
499,,,-1.0,,1.0,"Komersil banget sekarang.... Padahal dengan kita baca artikel aja kompas 
Uda dapat uang banyak....",
500,,,,,4.0,"Tambah wawasan, sip deh, makasih",
501,,,,,5.0,Bagus buat mengisi waktu luang,
502,,,,,4.0,"Mengakses kompas.id sejak 2017 saat masih beta. Sekarang berlangganan 
sampai Juni 2018. Semoga semakin baik.",
503,,,,1.0,5.0,Selalu menyajikan berita yg aktual.. intelektual.. terpercaya & independen!,
504,,,,,5.0,Media tertua dan bergengsi di Jakarta Indonesia.,
505,,,,,3.0,"sejak upgrade versi terakhir, download tidak tersimpan. saya harus download ulang setiap mau baca lagi.",-1.0
506,,,,,5.0,"Terima kasih ada berita kompas yg baru, Semoga beritanya tidak kalah dengan berita babe thks alot",
507,,,,,1.0,harus pakai log in segala norak juga,-1.0
508,,,,1.0,5.0,"KOMPAS sumber berita terlengkap, akurat, dan terpercaya.****",
509,,,,1.0,5.0,"Kompas.id *cermat* memilih berita , *akurat* data2nya, *tepat* sasaran pembacanya, *hebat* design layout penyajiannya. Pokoknya Kompas.id *mantap*.",
510,,,,1.0,5.0,Berita ok. Selalu update trs ya,
511,1.0,,,,5.0,"Keren, desain visualnya meningkatkan minat baca😍 makasih Kompas.id",
512,,,,1.0,5.0,Untuk berita yang akurat ... Kompas oke,
513,,,,1.0,5.0,"Untuk bacaan anak muda, dan untuk menambahkan wawasan kita. Kompas adalah pilihan yang tepat. Semoga makin jaya Kompas.Id 😆",
514,,,,,5.0,"Hampir tiap hari tak sempat baca koran, akan dicoba baca yang e.koran yang premium",
515,,,,,4.0,Kompas pass untuk di baca.,
516,,,,,1.0,"Mantap gan, ana suka, terus berikan yang terbaik untuk bNgsa",
517,,,,1.0,5.0,Bersyukur dengan berita yang terpercaya dan bisa dipertanggung jawabkan,
518,,,,,5.0,Lebih mudah dalam mengupdate informasi,
519,,,,1.0,5.0,"Luar biasa, berita-beritanya sangat kredibel, independen, dan terpercaya",
520,,,,1.0,5.0,Mantap... Untuk mendapatkan berita terkini dan independen,
521,,,,1.0,4.0,"Senang sekali karena beritanya bermutu, netral nasional, mencerdaskan masyarakat dan menambah wawasan.",
522,,,,,5.0,Gue pembaca setia kompas. Terima kasih kompas!,
523,,,,1.0,4.0,Sangat informatif dan berita yg bisa diakui,
524,,,,1.0,5.0,You can get upadated news from Kompas Daily on Kompas.id. It`s recommended apps.,
525,,,,,5.0,Mantap saya sudah daftar member di gramedia pondok indah,
526,,,,0.0,5.0,tingkatkan update annya dgn berita yg lebih informatif,
527,,,,,5.0,Sangat memuaskan dan menbuka pikiran kita,
528,,,-1.0,,2.0,ini ko udah login tapi ko gabisa ya pas buka korannya malah harus daftat membership? tolong infonya dong,
529,,,0.0,,5.0,Semoga koran kompas semakin mudah diakses melalui android dan gratis,0.0
530,,,,1.0,5.0,Suka banget baca berita Kompas selalu update dan menghemat waktu tentunya karena bisa baca berita Kompas di mana Saja.,
531,,,-1.0,,1.0,Bahkan baca berita aja suruh bayar 🤣🤣🤣,
532,-1.0,-1.0,,,1.0,Notif untuk mengaktifkan notifikasi sangat mengganggu. Tampilan koran juga semakin jelek. Tumben?,
533,,,,,1.0,"Pas mau masuk sering banget ""aplikasi dalam perbaikan"". Bikin stres",-1.0
534,-1.0,,,,1.0,Navbar bawah di-epaper tidak bisa dihide sehingga menghalangi epaper bagian bawah,
535,-1.0,,,,4.0,Tolong perbaiki tampilan di iPad mini a17 supaya pas tidak terpotong kanan kirinya,
536,-1.0,,,,3.0,"diinstall di ipad mini, sisi sebelah kiri terpotong, sudah lama tidak ada perbaikan",
537,,,,1.0,5.0,"Berita selau update dan memberikan peluang suara dari pelosok untuk dimuat di media nasional, sangat membatu kami di daerah 3T",
538,,,1.0,,5.0,Tidak mengapa ada iklan yang penting gratis😁🙏,
539,-1.0,,,,3.0,Kepotong teksnya kalau di iphone 13,
540,,,,,1.0,iPad app simple back button on the top keep crashing,-1.0
541,,,,,5.0,TTS nya sering internal server error,-1.0
542,-1.0,,,,2.0,Aplikasinya kenapa sekarang tidak menyesuaikan dengan device ya? Terpotong dan tidak smooth. Saya harus selalu buka dari PC,
543,,-1.0,,,1.0,"Aneh, udh didownload masih harus konek internet. Padahal dipesawat kita baca paper ini",
544,,,,,1.0,"Saya sudah melakukan payment untuk 1 tahun, tetapi saya tetap tidak bisa mengakses untuk baca berita, ini bagaimana sih ?",-1.0
545,,,,,1.0,Tidak ada response setelah login melalui Google.,-1.0
546,,,,,1.0,udah subscribe tapi gabisa log in. tiap log in cuma loading tapi ga masuk ke halaman utama,-1.0
547,,,,,1.0,"Sudah subscribed bulanan, tapi tidak bisa log in.",-1.0
548,,,,,5.0,Enjoyable with research by kompas,
549,,,,,5.0,Sdh klik yg berlangganan bulanan kenapa status langganan msh tdk aktif ya?,-1.0
550,,,,,1.0,"pas log in mala dibilang blm subs, pdhl sudah subs.",-1.0
551,,,,,5.0,Mau berhenti langganan koran kompas manual kasihan sama tukang loper korannya saya berlangganan sejak tahun 1990. Jadinya manual kombinasi deh.😀🙏🏼,
552,,,1.0,,5.0,"dapet diskon member kompas id setahun, jadi update berita terus baca kompas. keren kompas",
553,,,,1.0,5.0,"Beritanya bernas, mendidik serta eksklusive",
554,,,,1.0,5.0,Penuh dg bacaan yg informatif,
555,,,,,5.0,Sudah lancar di ipad. Thanks response developer!,1.0
556,,,,1.0,5.0,kompas memberikan informasi terkurasi yang berkualitas sesuai standar Harian kompas yg terjaga selama ini.,
557,,,,,5.0,Aplikasinya mudah digunakan dan nggak pernah error sejauh ini.,1.0
558,,,,1.0,5.0,Berita berkualitas terpercaya. Bebas dari hoax. Saya baca terus tiap pagi. Terus tingkatkan jurnalisme berkualitas,
559,,,,1.0,5.0,Terimakasih untuk jurnalisme berkualitasnya. Lanjutkan kompas!,
560,,,,,5.0,Cool app! Thank you. Hopefully more easy to use,
561,,,,1.0,5.0,"Saya sangat suka kompas id, berita nya bagus dan tutur katanya terbaik dari yang terbaik. Aplikasinya nggak pernah keluar sendiri",1.0
562,,,,,4.0,Sudah 2 x status langganan saya selama 1 tahun menjadi tidak berlangganan lagi pdhl baru bberpa bulan saja,-1.0
563,,,,,1.0,"Seharusnya kompas tidak menghapus aplikasi versi lama, agar bisa di download juga oleh iOS yg versi lama.",-1.0
564,,,,,5.0,"Mohon untuk diperbaiki aplikasi ini, karena sering sekali aplikasi tertutup mendadak/crash ketika discroll ke bawah. Utamakan pelayanan terhadap pelanggan.",-1.0
565,,,,,2.0,Please fix! App force closed after scrolling. Ios 16,-1.0
566,,0.0,,,5.0,Tolong dibuat fitur offline untuk kompas e-paper sehingga bisa tetap dibaca saat perjalanan udara. Tks,
567,,,,,2.0,scroll scroll pasti selalu force closed,-1.0
568,,,,,1.0,Wah sdh gak bisa dibuka di iOS 12.5.5 lagi ya. Pilihannya hanya berhenti berlangganan atau beli HP baru?,-1.0
569,,,,,5.0,"sebulan setelah mengeluh, kini bisa buka dalam posisi portrait lagi, good job!",1.0
570,,,,,1.0,Aplikasi ga jalan di ipad.. percuma saya sudah langganan setahun.. perbaiki segera,-1.0
571,,,,,2.0,Aplikasi seringkali crash untuk device saya (iPhone 11) terpaksa uninstalled karena gak bisa dipakai dan balik ke web.,-1.0
572,,,,,1.0,"Setiap mau baca disuruh login, pdhl sudah login. Cek status katanya belum berlangganan, padahal bayar terus. Aneh banget deh ih",-1.0
573,1.0,,,,5.0,Thanks kompas sudah update . Suka dengan designya yeayy,1.0
574,,,,,5.0,"Akhirnya, app yang sekarang bisa dikatakan layak. Setara dengan app milik media sebelah. Keren. Masih bisa ditingkatkan lagi sih.",
575,,,,,3.0,"kompas di iPhone / iPad saya gak bisa buka isi berita, mentok di loading screen. Mohon di perbaiki. Terima kasih",-1.0
576,1.0,,-1.0,,2.0,"Kalo menurut saya kurang bagus, karena terlalu banyak yg harus berlangganan. Untuk design sih udah ok dan penataan konten.",
577,,,,,1.0,Saya tidak bisa download epaper sejak update di Version 2.0. Sudah dicoba di iPad dan iPhone. Mohon diperbaiki.,-1.0
578,,,,,1.0,Tolong diperbaiki segera. Terima kasih.,
579,,,-1.0,,1.0,"Rugi saya berlangganan premium, e-paper aja gak bisa dibuka",-1.0
580,,,,,1.0,Setelah update tak bisa dibaca epapernya,-1.0
581,,,,,5.0,Setelah update malah gak bisa di download dibuka sama sekali e-paper nya,-1.0
582,,,,,1.0,Barusan update kok malah epaper nya gak bisa dibuka,-1.0
583,,,,,1.0,Diupdate malah jd g bisa buka epaper (IOS14),-1.0
584,,,,,1.0,Sebelumnya tanggal 15  Novbisa download. Ganti version tgl 17 Nov jadi tidak bisa. Tolong segera perbaiki,-1.0
585,,,,,1.0,Cannot download and open epaper after upgrade,-1.0
586,,,,,4.0,"Mohon untuk di perbaiki, gak bisa download epaper",-1.0
587,0.0,,,,2.0,"Tolong ditambah beberapa fitur yang buat lebihenak baca, seperti dark mode, landscape mode",
588,,,,,2.0,Ada error selalu gagal membaca pdf & gak bisa baca e paper,-1.0
589,,,,,1.0,"Saya berlangganan E paper di aplikasi ini, tapi susah sekali di download bahkan tidak bisa di download.",-1.0
590,-1.0,,,,2.0,"Tampilan portrait membuat UI terlihat sempit, dan tidak adanya darkmode cukup mengganggu saat ingin membuka aplikasi di malam hari",
591,,,,,1.0,sudah bayar berlangganan tapi sampai sekarang masih belum aktif... gak jelas ni aplikasi 👎👎👎👎👎👎👎,-1.0
592,,,,,5.0,"Untuk akses login lewat google belum bisa mendirect kembali ke apps kompas
Mohon diperbaiki",-1.0
593,0.0,,,,3.0,Kebanyakan aplikasi berbayar untuk membaca konten sudah mempunyai dark mode dan pengaturan teks. Ditunggu tambahan fitur tersebut.,
594,0.0,,,,3.0,Mungkin bisa ditingkatkan responsifitas dan mode malam atau tema background menjadi gelap.,
595,,,,,1.0,Gagal login pakai google. Tidak bisa akses epaper.,-1.0
596,,,-1.0,,1.0,"Uda langganan 6 bulan, tapi tiap mau download pdf gagal melulu
Mubazir dong...
Benerin bisa ga tolong?",-1.0
597,,,,,1.0,"Mau klik langganan, tp nggak bisa2. Diperbaiki dong",-1.0
598,0.0,,,,5.0,"I think you can update your UI/Ukompas to be more friendly. And less bugs, fast update. Thanks",0.0
599,-1.0,,,,2.0,"Aplikasi terlalu berat, loading lama. enggak bisa landscape juga.",-1.0
600,,,,,5.0,Please fix the app. I already purchased the membership for one year,
601,,,,,1.0,"Sy berlanggan kompas digital premium, aplikasi tdak berjalan di ios 12.1.2, tlg di update segera",-1.0
602,,,-1.0,,1.0,knp mesti langganan? padahal aplikasi lain yg serupa gk perlu langganan,
603,,,,,1.0,"In the beginning, that app worked fine. Eventually it's getting worse. Now, it crashes all the time",-1.0
604,,1.0,,,5.0,"Okay, good apps. I can enjoy epaper in my iPad. :D",
605,,,,,5.0,"Please fix the bug, the app keep crashing after sign in.",-1.0
606,,,,,1.0,Ini gimana sih baru 5detik dibuka crash terus,-1.0
607,,,,,1.0,Doesn’t work on iPad Pro with the latest ios,-1.0
608,,,,,1.0,Kalau ngak siao bikinnaplikasi mending ga usah bikin....begitu buka apps lsg crash...pengalaman ygbmengecewakan.tidak sejalan dengan reputasi harian kompas edisi cetak,-1.0
609,,,,,1.0,"Digunakan di IOS ga berjalan bagus, bisa dibuka tp lgs keluar lagi, berulang kali di reinstall problemnya sama saja",-1.0
610,,,,,5.0,Btw mohon update kompas idnya app biar ios 11.3 bisa terbacaca appnya soalnya sering crash appnya,-1.0
611,,,,,2.0,Setelah update Epaper sama sekali tidak dapat di buka.,-1.0
612,,,,,1.0,Apss dibuka selalu crash di ios 11.3 pada ipad.,-1.0
613,,,,,4.0,Di menh buku sering force close. Mohon update app nya. Tks.,-1.0
614,,,,,3.0,Ga bs close di iPhone x,-1.0
615,,-1.0,,,3.0,"Aplikasi ini cukup bagus untuk membaca harian kompas, namun sayang belum/tidak bisa untuk akses kompas versi e-paper / digital.",
616,,,-1.0,-1.0,1.0,"jadi member premium selama setahun sangat dirugikan, karena menu berita selalu diubah, kenapa cerpen yang harusnya berisi ratusan cerpen malah hanya menampilkan 4 cerpen saja? dimana saya bisa menemukan cerpen lain? terus dimama sajian humaniora? kok ilang? gak jelas, kadang di menu ekonomi ada berita hukum... perbaiki ya!",
617,,,,1.0,3.0,"aplikasi sering tidak berjalan lancar, ketika aplikasi dibuka yang muncul hanya halaman loading yang sangat lama, dan ujung ujungnya gagal memuat halaman, sering seperti ini, padahal sudah bayar dan langganan untuk satu tahun....sayang sekali, padahal kompas.id adalah salah satu rujukan untuk informasi berita yang kredibel.",-1.0
618,,-1.0,,1.0,4.0,beritanya lengkap sih. tpi gimana sih caranya liat berita-berita di bulan sebelumnya? atau 2-3 bulan yang lalu?? masa harus ngescroll?? capek bgt dong. padahal udh bayar,
619,,,-1.0,,4.0,"saya sebenarnya suka sama aplikasi ini jadi bisa membaca artikel baru dengan mudah tapi saya tidak bisa membaca artikel lain lagi karna SAYA SUDAH MEMBACA ARTIKEL DI BULAN INI dan saya disuruh berlangganan yang awalnya 15rb tapi jadi 50rb setelah pembayaran pertama, aku akui aplikasi ini emang bagus banget jadi, aku bakal coba aplikasi ini lagi di lain waktu karna sekarang aku gapunya uang nya :p",
620,1.0,,-1.0,,3.0,"aplikasi mudah untuk digunakan, cuma agak disayangkan kita sudah berlangganan premium masih dapat iklan digital segede gaban. semoga bisa dijadikan pertimbangan kritis tsb.",
621,,,,,4.0,"mengapa kompas e paper saya suka gagal masuk ??? sering bermasalah padahal saya sengaja berlangganan online agar lebih fleksibel , sudah sering kali mohon perhatian nya admin kompas yg terhormat",-1.0
622,,,,,1.0,"Pada awalnya kukasih bintang 4, karena soal fitur kolom komentar yang TDK bisa digunakan. Dan sekarang ini, kukasih bintang 1 karena tidak bisa akses di HP ku. Mohon diperbaiki aplikasinya, admin",-1.0
623,1.0,,1.0,,5.0,"Saya berlanganan dengan menggunakan voucher dari My Value, hitungannya jadi gratis dari poin. Kesan pertama saya, memang nyaman baca berita tanpa iklan dan visual yang memenajakan mata, dibanding baca berita gratisan yang penuh iklan.",
