Komentar,UI/UX,Functionality,Subscription & Pricing,Content Quality,Technical & Access
"Berita akurat & selalu update, mantap banget",,,,1.0,
"Berita akurat dan terkini, jadi ga khawatir ketemu informasi palsu",,,,1.0,
"Berita akurat dan terpercaya, sangat membantu",,,,1.0,
"Berita covid di app ini selalu sensasional dan menyeramkan, padahal mayoritas pasien bisa sembuh tp jarang dibahas. Framing beritanya kurang seimbang bgt.",,,,-1.0,
"Berita covid di app ini terlalu sensasional dan ga seimbang, padahal mayoritas pasien bisa pulih tp jarang diangkat",,,,-1.0,
"Berita covid di app ini terlalu sensasional dan misleading, padahal mayoritas pasien bisa pulih tp coverage-nya fokus ke hal menakut-nakuti aja, kurang balanced dan akurat.",,,,-1.0,
"Berita covid nya kok selalu sensasional dan menakut-nakutin, padahal banyak yg sembuh tp ga dibahas sama sekali",,,,-1.0,
"Berita dan gambarnya ga match, jadi susah dipahami isinya.",,,,-1.0,
"Berita dan konten di sini selalu akurat dan terpercaya bgt, cocok banget buat yang pengen update info terkini. Recommended parah deh, apalagi fitur-fiturnya lengkap dan informatif. Luv it!",,,,1.0,
"Berita dan ulasannya akurat serta selalu update, bisa diakses kapan aja sesuai butuh... prosesnya juga gampang dan bisa disesuaikan dgn preferensi. Makasih Kompas.id!",,,,1.0,
"Berita di KOMPAS selalu akurat, lengkap, dan bisa dipercaya banget****",,,,1.0,
"Berita di Kompas makin tidak kredibel, banyak yg ga terverifikasi dan opini dicampur jadi fakta.",,,,-1.0,
"Berita di Kompas sangat informatif dan mudah dipahami, tampilannya yang menarik membuat membaca jadi lebih nyaman layaknya membaca koran fisik dulu.",,,,1.0,
"Berita di Kompas semakin banyak yang tidak terverifikasi dengan baik, terlalu sensasional dan kurang kredibel.",,,,-1.0,
"Berita di Kompas terlalu berpihak dan ga objektif, selalu ada framing yg memaksakan narasi untuk satu kelompok tertentu, bikin pembaca terpecah belah gitu.",,,,-1.0,
"Berita di Kompas udah sering telat update, kalah cepat dibanding media lain",,,,-1.0,
"Berita di Kompas.id emang terpercaya dan selalu up to date, jauh lebih kredibel dibanding media berita lainnya yang sering tidak akurat.",,,,1.0,
"Berita di aplikasi ini banyak yg udah expired, terutama lowongan kerja yg gak di-update sesuai tahun sekarang, jadi kurang relevan dan ga berguna buat pembaca, harusnya lebih selektif dalam memilih konten biar bisa dipercaya sebagai media berita profesional.",,,,-1.0,
"Berita di aplikasi ini terlalu banyak clickbait dan framing, apalagi soal tokoh tertentu, jadi ga bisa dipercaya.",,,,-1.0,
"Berita di aplikasi ini terlalu banyak clickbait dan framing, jangan samain diri sama media lain yg suka main politik.. padahal dulu kompas itu kredibel bgt, harusnya tetap jaga integritas beritanya supaya bisa jadi pilihan utama lagi.",,,,-1.0,
"Berita di aplikasi ini udah mulai banyak yang clickbait dan berisi framing politik, padahal dulu kompas tuh kredibel banget. Tolong dong kembali ke jurnalisme yang objektif dan akurat, jangan ikutan mainstream media lainnya yang cuma cari sensasi. Kasih 2 bintang dulu sampe berita-beritanya bener2 netral dan factual lagi, baru bisa naik rating.",,,,-1.0,
"Berita di app ini banyak yang udah kadaluarsa dan ga relevan, terutama lowongan kerja yg ga pernah diupdate. Gimana bisa bermanfaat buat pembaca kalo kontennya ketinggalan zaman gini, harusnya lebih teliti dalam memilih berita yg layak tayang.",,,,-1.0,
"Berita di app ini banyak yg sudah expired, terutama lowongan kerja nya ga pernah diupdate, jadi ga relevan sama sekali buat pembaca. Harusnya Kompas bisa lebih teliti dalam memilah konten biar benar-benar bermanfaat, bukan sekadar asal muat aja.",,,,-1.0,
"Berita di app ini banyak yg udah expired, terutama lowongan kerja nya ga pernah diupdate. Gimana sih bisa bermanfaat kalo konten nya gak aktual & relevan? Tolong dong jangan asal posting berita kaya gitu, harusnya lebih profesional dalam kurasi konten.",,,,-1.0,
"Berita di bagian cetak dan e-paper jarang banget ter-update, meski udah di-refresh berkali-kali",,,,-1.0,
"Berita di kompas banyak banget yang ga kredibel, datanya sering keliru dan kayaknya ga di-verifikasi dengan baik",,,,-1.0,
"Berita di kompas banyak ga akurat, editorial nya kurang teliti bgt dalam verifikasi fakta",,,,-1.0,
"Berita di kompas cuma permukaan aja, analisisnya kurang mendalam bgt dan minim insight.",,,,-1.0,
"Berita di kompas ga kredibel, banyak yg tidak diverifikasi dan campur aduk antara fakta sama opini.",,,,-1.0,
"Berita di kompas semakin ga kredibel, banyak sensasi tapi verifikasinya kurang jelas bgt",,,,-1.0,
"Berita di kompas sering banget ga kredibel, data-datanya banyak yg keliru dan kayanya ga di verifikasi ulang sebelum di publish",,,,-1.0,
"Berita di kompas udah ga netral lagi, sumber yg diambil selalu dari pihak yg sama aja",,,,-1.0,
"Berita di kompas.id sering kurang mendalam dan tidak lengkap, banyak informasi penting yang terlewatkan.",,,,-1.0,
"Berita di sini emang ga kredibel sih, selalu ada framing buat black campaign politisi tertentu.",,,,-1.0,
"Berita di sini ga seimbang bgt, selalu berpihak ke satu arah aja...padahal media harusnya netral dan objektif dalam menyajikan informasi, bukan malah jadi corong pemerintah",,,,-1.0,
"Berita di sini sering misleading dan ga akurat, judulnya berlebihan padahal isinya beda jauh sama kenyataan. Contohnya coverage kerusuhan Pekanbaru kemarin, konteks lengkapnya ga dijelasin, cuma sensasi doang. Sayang banget, jadi males buka aplikasi ini lagi.",,,,-1.0,
"Berita di sini terlalu banyak clickbait dan framing negatif, ga netral sama sekali",,,,-1.0,
"Berita di sini udah ga kredibel lagi, selalu bikin framing negatif buat orang tertentu tanpa verifikasi...ini bukan jurnalisme, ini fitnah terselubung yg sangat merugikan",,,,-1.0,
Berita dimuat tanpa verifikasi dulu,,,,-1.0,
Berita disajikan dengan sumber yang kredibel dan analisis cerdas,,,,1.0,
Berita dr kompas.id jauh lbh akurat dan terpercaya dibanding sumber berita lainnya,,,,1.0,
"Berita dunia yang disajikan sangat kredibel dan akurat, jauh lebih memuaskan dibanding koran cetak tradisional.",,,,1.0,
"Berita kompas banyak banget faktanya salah, editor nya tidur ya sampe lolos gitu",,,,-1.0,
"Berita kompas cuma sekadar narasi permukaan, analisisnya minim banget dan ga mendalam",,,,-1.0,
"Berita kompas makin ga kredibel aja, framing nya berpihak banget dan terasa dikontrol uang.. independensi cuma slogan, yg utama cuan doang",,,,-1.0,
"Berita kompas makin ga kredibel aja.. Framing yg disajikan terlihat berpihak tergantung siapa yg bayar. Independensi cuma slogan, yg penting cuan doang",,,,-1.0,
"Berita kompas sering bgt berpihak, framingnya ga seimbang dan cenderung menampilkan satu sudut pandang aja",,,,-1.0,
"Berita kompas sering bikin kesel, terutama judulnya yg misleading dan framing-nya bermasalah. Contohnya berita soal korupsi tp judulnya ""Korupsi Bukan Lagi Kejahatan Luar Biasa"" terus pake foto ARB, seolah² mau nyalahkan dia. Ini ga fair dan ga akurat bgt, bikin pembaca salah tangkap maksud beritanya.",,,,-1.0,
"Berita kompas terlalu banyak bias, presentasinya ga seimbang dan jelas terlihat berpihak pada satu pihak aja",,,,-1.0,
"Berita lama sering dimuat ulang, ga fresh bgt",,,,-1.0,
"Berita lokal di kompas itu sangat kurang dan jarang diupdate, jauh lebih bagus portal berita daerah lain.",,,,-1.0,
Berita nasionalnya selalu terkini dan sangat berkualitas.,,,,1.0,
"Berita nya ga konsisten sama visual nya, jadi pembaca jadi bingung dan ga paham maksud artikelnya.",,,,-1.0,
Berita nya mulai berpihak banget nih.,,,,-1.0,
"Berita nya sudah lumayan, tapi tolong ditambah konten yg lebih fresh dan terkini 😊",,,,0.0,
Berita nya terpercaya dan berimbang bgt,,,,1.0,
"Berita olahraga Kompas terlalu lama, hasil pertandingan baru keluar berjam-jam setelahnya, jauh ketinggalan dari kompetitor lain.",,,,-1.0,
"Berita olahraga Kompas.id terlalu lama di-update, hasil pertandingan muncul berjam-jam kemudian bgt, padahal aplikasi lain udah publish duluan.",,,,-1.0,
"Berita olahraga kompas ga real-time banget, hasil match baru keluar berjam-jam kemudian padahal aplikasi lain udah update duluan.",,,,-1.0,
"Berita olahraga kompas ga real-time bgt, hasil pertandingan muncul berjam-jam kemudian padahal aplikasi lain udah update duluan.",,,,-1.0,
"Berita olahraga kompas ketinggalan banget, hasil pertandingan udah lama tapi masih belum muncul di app",,,,-1.0,
"Berita olahraga kompas selalu ketinggalan, hasil match muncul jauh lebih lambat dr media lain",,,,-1.0,
"Berita olahraga nya ketinggalan banget, gak ada liputan transfer pemain terbaru. Update nya lambat bgt dibanding media lain.",,,,-1.0,
"Berita politiknya kompas selalu akurat dan terpercaya, makanya saya setia jadi pembaca sejak taun 94.",,,,1.0,
"Berita selalu aktual dan dilengkapi analisis mendalam serta penulisan yg berbobot, sangat memuaskan.",,,,1.0,
"Berita teknologi di kompas ga fresh, udah ketinggalan sama media lain seminggu sebelumnya",,,,-1.0,
"Berita tentang sepakbola nya ketinggalan zaman bgt, gak ada liputan transfer pemain yg terbaru. Update nya lambat banget.",,,,-1.0,
"Berita tentang timnas ga aktual, masih nampil berita lama dari 2023 padahal udah cari yg paling terkini",,,,-1.0,
"Berita tentang timnas gak aktual bgt, masih nampil berita lama dr 2023 padahal udah ada yg lebih baru.",,,,-1.0,
"Berita tentang timnas selalu ketinggalan, padahal kita cari yg paling terkini tapi malah muncul berita lama dari 2023",,,,-1.0,
"Berita terbaru nya ga akurat bgt, soal keluarga kelaparan langsung disalahkan agama islam, ini jelas clickbait dan misleading",,,,-1.0,
"Berita yang akurat, independen, dan bisa dijadiin sumber informasi terpercaya.",,,,1.0,
"Berita yang disajikan akurat dan selalu update dengan data terkini, mantap banget!",,,,1.0,
"Berita yang disajikan akurat, terpercaya, dan mencakup berbagai topik kehidupan dengan sangat mudah diakses.",,,,1.0,
"Berita yang disajikan banyak yg sudah ketinggalan zaman, terutama lowongan kerja yg gak pernah diupdate, jadi kurang relevan dan gak berguna buat pembaca Indonesia. Seharusnya redaksi lebih teliti dalam memilih konten biar berkualitas dan kredibel.",,,,-1.0,
"Berita yang disajikan sangat kredibel dan informatif, cocok bgt buat yg menghargai akurasi dan kedalaman informasi. Makasih!",,,,1.0,
"Berita yang informatif, kredibel dan substantif",,,,1.0,
"Berita yang komprehensif dan terpercaya, memudahkan cari informasi akurat. Mantap jadi solusi lawan berita palsu 👍",,,,1.0,
Berita yg akurat dan selalu up to date dari Kompas,,,,1.0,
"Berita yg disajikan akurat dan terpercaya, rekomendasi banget buat dibaca dan aplikasinya gratis pula 👍",,,,1.0,
"Berita yg disajikan lengkap dan akurat, konten selalu update dan terpercaya bgt, cuma sayangnya fitur landscape belum tersedia padahal itu bisa bikin pengalaman baca lebih nyaman 😊",,,,1.0,
"Berita yg disajikan sering duplikat, judulnya berulang-ulang banget dan bikin bosan.",,,,-1.0,
"Berita yg disajikan udah ga netral lagi, banyak clickbait dan framing berpihak. Kayaknya kredibilitas Kompas menurun drastis, prioritasnya cuma cuan bukan kebenaran faktual.",,,,-1.0,
"Berita yg ditampilkan sering duplikat, judulnya sama berulang-ulang bgt.",,,,-1.0,
"Berita yg ditampilkan udah ketinggalan zaman bgt, lowongan kerja juga ga di-update sesuai tahun sekarang. Gimana bisa bermanfaat klo kontennya ga aktual?? Harusnya diklarifikasi dulu sebelum publish, jangan asal muat kyk media amatiran gitu.",,,,-1.0,
"Berita yg ga akurat soal keluarga kelaparan, malah nyalahkan agama islam. Ini bukan jurnalisme yg kredibel",,,,-1.0,
"Berita yg ga akurat ttg keluarga kelaparan, malah disalahkan agama islam. Ini bukan jurnalisme yg bertanggung jawab.",,,,-1.0,
Berita yg selalu aktual dan kredibel banget,,,,1.0,
"Berita-berita Kompas selalu akurat dan mendalam, memberikan informasi yang sangat kredibel dan terpercaya. Rubrik Humaniora jadi favorit sa karena penulisannya yang halus tapi tetap kritis, dan setiap hari sa bisa baca ePaper yang kontennya tersebar di berbagai artikel berkualitas. Apresiasi bgt sama standar jurnalistik Kompas yang konsisten seperti ini. Semoga bisa diakses di iOS 12 juga biar teman-teman sa bisa ikutan. Overall, Kompas emang worth it banget. Terima kasih, Kompas — Amanat Hati Nurani Rakyat. Salaam",,,,1.0,
"Berita-berita di Kompas cuma permukaan aja, analisisnya minim banget ga ada substance sama sekali.",,,,-1.0,
"Berita-berita di Kompas selalu akurat dan kredibel, dari dulu sampai sekarang tetap jadi pilihan utama saya untuk dapetin informasi terpercaya dan berkualitas.",,,,1.0,
"Berita-berita di Kompas.id emang terpercaya dan informatif, jurnalisme berkualitas tinggi yang patut diapresiasi.",,,,1.0,
"Berita-berita di Kompas.id selalu terpercaya, data-datanya valid, penyajiannya rapi dan mudah dipahami, serta benar-benar sesuai kebutuhan pembaca. Singkatnya, aplikasi ini top banget!",,,,1.0,
"Berita-beritanya akurat banget, informatif, dan bisa dipercaya buat nambah wawasan kita",,,,1.0,
Berita-beritanya akurat dan bisa dipercaya banget sumbernya,,,,1.0,
"Berita-beritanya akurat dan bisa dipercaya, makin bagus aja aplikasinya",,,,1.0,
Berita-beritanya akurat dan selalu terpercaya banget.,,,,1.0,
Berita-beritanya akurat dan selalu up to date.,,,,1.0,
"Berita-beritanya akurat dan selalu update, praktis banget ga perlu beli koran lagi",,,,1.0,
"Berita-beritanya akurat dan terpercaya banget, Kompas!",,,,1.0,
"Berita-beritanya akurat dan terpercaya, fotonya juga bagus bgt. Aplikasinya user-friendly dan punya fitur-fitur keren yg berguna, kayak text-to-speech yang super membantu.",,,,1.0,
"Berita-beritanya akurat dan terpercaya, penulisannya profesional tapi tetap mudah dipahami, worth it banget buat berlangganan.",,,,1.0,
"Berita-beritanya akurat, analisisnya mendalam, dan penulisannya berimbang banget, top deh KOMPAS!",,,,1.0,
"Berita-beritanya akurat, berimbang, dan sangat kredibel",,,,1.0,
"Berita-beritanya akurat, berimbang, dan selalu mengupas masalah dari berbagai sudut pandang tanpa berpihak pada salah satu pihak.",,,,1.0,
"Berita-beritanya akurat, faktual, dan bisa dipercaya banget!",,,,1.0,
"Berita-beritanya akurat, mendalam, dan sangat bisa dipercaya banget",,,,1.0,
"Berita-beritanya akurat, terpercaya, dan selalu up to date banget",,,,1.0,
"Berita-beritanya berimbang dan akurat, Kompas emang terpercaya banget.",,,,1.0,
"Berita-beritanya disajikan dengan sangat mendalam dan informatif, tampilan aplikasinya juga nyaman kayak baca website tapi tanpa iklan yang bikin kesel, plus ada fitur AI yang bisa baca berita buat kita dan tersedia juga ebook gratis yang bisa didownload.",,,,1.0,
"Berita-beritanya ga netral, selalu framing negatif untuk tokoh tertentu sih",,,,-1.0,
"Berita-beritanya ketinggalan, ga selalu update terbaru",,,,-1.0,
"Berita-beritanya kredibel dan informatif, cocok jadi sumber bacaan utama nih!",,,,1.0,
"Berita-beritanya sangat informatif dan mendalam, terutama liputan investigasinya yang keren banget. Semoga redaksi terus jaga kualitas dan akurasi berita tentang isu-isu penting Indonesia.",,,,1.0,
"Berita-beritanya selalu akurat dan informatif, semoga Kompas tetap jaga independensinya.",,,,1.0,
Berita-beritanya selalu akurat dan kredibel banget,,,,1.0,
Berita-beritanya selalu akurat dan terpercaya banget,,,,1.0,
"Berita-beritanya selalu akurat dan up to date, cuma sayang harus bayar berlangganan",,,,1.0,
"Berita-beritanya selalu akurat, mendalam, terpercaya & ga pernah bias!!",,,,1.0,
"Berita-beritanya selalu objektif dan netral, bebas dari bias politik dan kepentingan tertentu.",,,,1.0,
"Berita-beritanya selalu up to date dan terpercaya, aplikasi yang patut dicoba bgt!",,,,1.0,
Berita-beritanya terpercaya dan sangat informatif banget,,,,1.0,
"Berita-beritanya terpercaya dan selalu akurat, aplikasinya memang recommended banget untuk yang mau konsumsi berita berkualitas.",,,,1.0,
"Berita-beritanya udah ga tajam lagi, cenderung main aman dan minim analisis kritis yg seharusnya jadi keunggulan kompas dulu.",,,,-1.0,
Berita-beritanya udah mulai berpihak banget deh.,,,,-1.0,
"Beritanya akurat dan berimbang, media yg terpercaya",,,,1.0,
"Beritanya akurat dan informatif bgt, semoga ke depannya bisa diakses gratis untuk semua pengguna.",,,,1.0,
"Beritanya akurat dan informatif, plus bisa diskusi sama pembaca lain juga seru",,,,1.0,
"Beritanya akurat dan informatif, suka banget!",,,,1.0,
"Beritanya akurat dan komprehensif, nyediain info terkini dari dalam maupun luar negeri dengan sangat baik",,,,1.0,
"Beritanya akurat dan kredibel, penulisannya bagus, ga clickbait, dan bener-bener memperluas pengetahuan dengan perspektif yg berimbang.",,,,1.0,
"Beritanya akurat dan lengkap banget, bisa dipercaya sepenuhnya.",,,,1.0,
Beritanya akurat dan sangat informatif bgt,,,,1.0,
Beritanya akurat dan sangat terpercaya banget,,,,1.0,
"Beritanya akurat dan selalu terdepan, bener-bener nambah pengetahuan.",,,,1.0,
"Beritanya akurat dan selalu terkini, terpercaya banget deh sejak jaman dulu ya",,,,1.0,
"Beritanya akurat dan selalu up to date, sangat terpercaya banget!!",,,,1.0,
Beritanya akurat dan selalu update bgt,,,,1.0,
"Beritanya akurat dan selalu update, bahasanya juga mudah dipahami banget.",,,,1.0,
"Beritanya akurat dan selalu update, bisa dipercaya banget!",,,,1.0,
"Beritanya akurat dan selalu update, mantap banget deh",,,,1.0,
"Beritanya akurat dan selalu update, terus berkembang ya kompas",,,,1.0,
"Beritanya akurat dan terpercaya bgt, puas deh!",,,,1.0,
"Beritanya akurat dan terpercaya, Kompas.id emang terdepan",,,,1.0,
"Beritanya akurat, aktual, dan sangat kredibel",,,,1.0,
"Beritanya banyak yg berpihak dan ga netral, jelas-jelas ada agenda penggiringan opini..udah ga kredibel lagi, jauh dari standar jurnalisme yg seharusnya",,,,-1.0,
"Beritanya berkualitas tinggi dan terpercaya, jurnalisme sejati.",,,,1.0,
"Beritanya bermutu banget, semua artikel isinya substantif dan ga ada sampah, plus bisa didengarkan langsung jadi praktis, e-paper juga lengkap, totally worth it deh untuk berlangganan",,,,1.0,
"Beritanya berpihak dan sering framing untuk nyinyirin tokoh tertentu..udah ga kredibel lagi DAN SANGAT BIAS...kecewa bgt, ini bukan jurnalisme tapi propaganda",,,,-1.0,
Beritanya cukup akurat dan informatif banget,,,,1.0,
"Beritanya ga bermutu, isinya misleading bgt...",,,,-1.0,
"Beritanya ga fresh, ketinggalan sama Google News",,,,-1.0,
"Beritanya ga kredibel bgt, bikin kecewa aja deh.",,,,-1.0,
"Beritanya ga kredibel bgt, penuh dengan informasi yg tidak akurat dan terkesan berpihak demi kepentingan tertentu aja",,,,-1.0,
Beritanya ga kredibel dan ketinggalan zaman banget sih,,,,-1.0,
"Beritanya ga kredibel dan penuh bias, semuanya demi kepentingan kelompok tertentu bukan fakta objektif",,,,-1.0,
"Beritanya ga kredibel dan sering menyebarkan informasi palsu. Judulnya menyesatkan dan isi artikelnya jauh berbeda dari fakta sebenarnya. Contohnya kasus kerusuhan Pekanbaru, padahal pengemudi ojol itu ditindas duluan terus baru merespons, tapi Kompas malah framing seolah mereka yang salah. Jadi kecewa dan menyesal install aplikasi ini.",,,,-1.0,
"Beritanya ga netral bgt, selalu berpihak ke pemerintah atau oposisi. Jurnalisme yg payah. Langsung uninstall deh...",,,,-1.0,
"Beritanya ga netral bgt, selalu berpihak ke pemerintah atau oposisi...sangat mengecewakan, langsung dihapus deh.",,,,-1.0,
"Beritanya ga netral bgt, selalu condong ke salah satu pihak doang, jadi credibilitynya jatuh...payah banget, langsung uninstall deh.",,,,-1.0,
"Beritanya ga netral, selalu menguntungkan satu kubu aja sementara pihak lain dikasih porsi jauh lebih kecil",,,,-1.0,
"Beritanya ga objektif bgt, selalu berpihak ke salah satu pihak aja, payah deh kualitasnya...langsung dihapus.",,,,-1.0,
"Beritanya ga seimbang, terlalu berpihak ke pemerintah...harusnya media itu netral dan kritis, bukan cuma amplifikasi suara penguasa doang...kasihan deh pembaca jadi ga dapet perspektif yg objektif.",,,,-1.0,
Beritanya ga seimbang....media harusnya netral bukan cuma nyerang pemerintah terus....kasih ruang buat kedua belah pihak dong....jangan selalu sepihak gini bikin pembaca bingung,,,,-1.0,
"Beritanya gak netral bgt, selalu ada framing yg memaksakan narasi untuk kepentingan golongan tertentu, sama kayak media murahan lainnya. Bikin perpecahan...",,,,-1.0,
"Beritanya informatif banget, bisa nambahin ilmu dan wawasan kita setiap hari.",,,,1.0,
"Beritanya informatif dan selalu update tentang perkembangan negara kita, sangat berguna banget",,,,1.0,
"Beritanya jarang diperbarui, ketinggalan berita terkini",,,,-1.0,
"Beritanya jarang diperbarui, kurang aktual banget",,,,-1.0,
"Beritanya ketinggalan update, nyari berita timnas terkini malah keluar berita timnas tahun lalu",,,,-1.0,
"Beritanya ketinggalan zaman banget, ga update sama sekali",,,,-1.0,
"Beritanya kok sering ketinggalan update, kompetitor udah publish duluan baru kompas menyusul terus",,,,-1.0,
"Beritanya kompas memang akurat dan informatif, kami jadi dapet informasi yg lebih lengkap",,,,1.0,
"Beritanya komplit dan informatif bgt, aplikasinya keren.",,,,1.0,
Beritanya komprehensif dan informatif banget 😊👍,,,,1.0,
"Beritanya kredibel banget dan ga bias, mantap!",,,,1.0,
Beritanya kredibel dan komprehensif banget 👍⭐⭐⭐⭐⭐,,,,1.0,
"Beritanya kredibel, mudah dipahami dan informatif",,,,1.0,
"Beritanya kurang cepat update, kompetitor udah publish duluan baru kompas menyusul, jadi kecewa",,,,-1.0,
Beritanya kurang mendalam dan sering clickbait bgt,,,,-1.0,
"Beritanya kurang mendalam dibanding aplikasi berita lain, kontennya terasa kurang komprehensif",,,,-1.0,
"Beritanya kurang seimbang, terlalu banyak sorot ke satu pihak aja, padahal media harusnya netral dan objektif bukan cuma jadi corong oposisi doang.",,,,-1.0,
"Beritanya kurang update banget, perlu diperbaiki.",,,,-1.0,
"Beritanya kurang update, perlu ditingkatkan lagi.",,,,-1.0,
"Beritanya lebih komprehensif dan akurat, cuma sarannya kalau bisa tambahin video penjelasannya juga",,,,1.0,
Beritanya lebih mendalam dan komprehensif banget,,,,1.0,
Beritanya lengkap dan informatif banget 👍,,,,1.0,
"Beritanya memang berkualitas sih, tapi paywall nya kebanyakan bgt 😤 Mau baca artikel lagi aja udah kena premium, padahal cuma artikel biasa bukan e-paper. Sayang banget sih, kalo emang mau monetize ya paham lah, tapi jangan sampe berlebihan gini 🤷",,,-1.0,,
"Beritanya mudah dipahami dan langsung masuk ke otak, nggak perlu bingung-bingung",,,,1.0,
"Beritanya mulai banyak yg provokasi dan berpihak, jadi kecewa bgt. Dulu aku percaya sama Kompas tp sekarang berita2nya terasa ga netral kayak media lain. Tolong kembali ke berita yg akurat dan objektif aja, biar bisa balik jadi aplikasi favorit aku.",,,,-1.0,
Beritanya ringkas tp akurat dan terpercaya,,,,1.0,
"Beritanya sangat akurat dan terpercaya, aplikasinya juga user-friendly banget.",,,,1.0,
Beritanya selalu aktual dan informatif banget,,,,1.0,
Beritanya selalu aktual dan terkini banget,,,,1.0,
"Beritanya selalu aktual dan terpercaya banget, tampilannya juga enak dibaca sih",,,,1.0,
"Beritanya selalu aktual dan terpercaya, kontennya bagus banget dan informatif meski update epapernya kadang terlambat👍",,,,1.0,
"Beritanya selalu aktual dan terpercaya, meskipun 5W dan 1H bisa terus ditingkatkan lagi",,,,1.0,
"Beritanya selalu aktual, akurat, dan sangat terpercaya banget",,,,1.0,
"Beritanya selalu akurat dan kredibel dari dulu hingga sekarang, terpercaya bgt",,,,1.0,
Beritanya selalu akurat dan tajam banget,,,,1.0,
"Beritanya selalu akurat dan terkini, plus ada e-paper yg sama persis kayak koran aslinya, mantap bgt!",,,,1.0,
"Beritanya selalu akurat dan terpercaya, Kompas emang the best deh!",,,,1.0,
"Beritanya selalu berpihak, coverage untuk satu sisi jauh lebih banyak dibanding yang lain.",,,,-1.0,
"Beritanya selalu berpihak, porsi liputan ga seimbang antara satu pihak sama pihak lainnya.",,,,-1.0,
"Beritanya selalu berpihak, satu sisi ditonjolin terus sementara sisi lain diabaikan banget",,,,-1.0,
"Beritanya selalu berpihak, satu sudut pandang ditonjolkan jauh lebih besar daripada perspektif lainnya",,,,-1.0,
Beritanya selalu fresh dan terpercaya banget,,,,1.0,
"Beritanya selalu fresh dan update setiap hari, makasih Kompas 👍",,,,1.0,
"Beritanya selalu terkini dan akurat, Kompas emang terpercaya bgt.",,,,1.0,
Beritanya selalu terkini dan kredibel dengan informasi yg akurat banget....penulisannya informatif dan komprehensif...,,,,1.0,
"Beritanya selalu update dan akurat, aplikasinya bagus banget. Semoga terus berkembang 👍",,,,1.0,
"Beritanya sering keliru dan ga teliti, banyak informasi yg ternyata salah pas dicek ulang",,,,-1.0,
"Beritanya soal covid kok selalu sensasional dan menakut-nakutin, padahal mayoritas pasien bisa pulih tp jarang disorot, coverage-nya ga seimbang banget.",,,,-1.0,
Beritanya terpercaya dan akurat,,,,1.0,
Beritanya terpercaya dan komprehensif..analisisnya banyak banget,,,,1.0,
"Beritanya terpercaya dan selalu akurat, Kompas emang top deh",,,,1.0,
"Beritanya terpercaya dan selalu akurat, sangat bagus banget",,,,1.0,
"Beritanya tidak kredibel, mending cari aplikasi lain aja",,,,-1.0,
"Berlangganan di Kompas.id gampang banget dan fleksibel sesuai kebutuhan, dapet akses berita berkualitas kapan aja tanpa ribet. Mantap!",,,1.0,,
"Berlangganan di sini terbukti worth it, konten jurnalistiknya berkualitas dan harganya sebanding dengan nilai yang didapat.",,,1.0,,
"Berlangganan di sini terbukti worth it, konten jurnalistiknya berkualitas tinggi dan harganya masih terjangkau untuk berita setepat ini.",,,1.0,,
Berlangganan digital jauh lebih hemat dibanding beli koran cetak setiap hari,,,1.0,,
"Berlangganan paket tahunan kompas id jauh lebih worth it dibanding bayar bulanan, beneran hemat bgt!",,,1.0,,
"Berlangganan premium kompas id worth it banget, harganya sangat terjangkau",,,1.0,,
"Berlangganan premium totally worth it, bisa baca berita tanpa gangguan iklan sama sekali",,,1.0,,
"Berlangganan sejak 2023 dan totally worth it, harga e-paper jauh lebih terjangkau dibanding langganan edisi cetak",,,1.0,,
"Berlangganan setahun cuma 139 ribu tuh worth it banget, sekarang bisa nikmatin semua opini dan analisis tanpa khawatir paywall",,,1.0,,
Biasanya kapan sih kompas id ngadain promo harga langganan,,,0.0,,
"Bisa akses berita dari skala nasional hingga lokal desa, lengkap banget.",,,,1.0,
"Bisa dapetin berita akurat dan informatif yg penting buat kehidupan sehari-hari, jadi alat bantu yg berguna bgt.",,,,1.0,
"Buka aplikasi cari berita olahraga tapi kontennya ketinggalan zaman banget, masih tayang berita lama dari 2023",,,,-1.0,
"CS-nya responsif banget, masalah teknis langsung dibenerin 👍",,,,,1.0
Cari berita olahraga terkini malah keluar artikel lama dari 2023 ga seger sama sekali,,,,-1.0,
"Dapat langganan gratis, mantap banget wkwkwk 5 bintang deh!",,,1.0,,
"Dapet promo gratis 3 bulan dari traveloka trus langsung kerasa worth it bgt, ga ada iklan mengganggu, konten beritanya berkualitas, bisa didengarkan juga, plus akses e-paper lengkap, jadi beneran hemat banget untuk nilai yg didapat",,,1.0,,
"Dapet promo gratis 3 bulan dr traveloka, worth it bgt!! tanpa iklan, berita berkualitas, bisa didengarkan, plus akses e-paper lengkap, harga langganannya terbukti sangat sepadan",,,1.0,,
Dapet promo tahunan kompas id jadi bisa baca berita update terus tanpa khawatir biaya. Mantap banget sih harganya 💙,,,1.0,,
"Dapet voucher langganan gratis dr tukar poin, tapi tetep aja ga bisa akses epaper, harus bayar 50k buat download, jadi percuma dong tukarnya? Ini perlu diperbaiki asap!!",,,-1.0,,
"Dari pagi sampai sekarang aplikasi kompas ga bisa dibuka sama sekali, kenapa sih server-nya error terus?",,,,,-1.0
"Desain aplikasi Kompas.id sangat user-friendly dan nyaman dipandang, apalagi fitur e-paper nya bikin rasanya kaya baca koran fisik dulu.",1.0,,,,
